method,mse_mean,mse_var,mse_std,mse_50q,mse_90q,rsd,type,idx,n_nodes,patience,min_delta,perc_sent_weights,target_probability,models_folder,n_input_features,n_output_vars,merge_strategy,batch_size,epochs_per_update,stop_criterion,fixed_updates,num_merged_models,shuffle_batch,finetuning_epochs,serialize_optimizer
Gossip,1314.411734946946,,1462.3209913443673,861.4874464656041,3240.616782011077,1.1125288617446734,classical,131,10,5,0.0,1.0,0.75,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,131,10,5,0.0,1.0,0.75,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,131,10,5,0.0,1.0,0.75,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Gossip,3321.531275427362,,3264.393533704565,1923.8584154987925,8535.155576139423,0.9827977709722318,generalized,131,10,5,0.0,1.0,0.75,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,131,10,5,0.0,1.0,0.75,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,131,10,5,0.0,1.0,0.75,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Gossip,1312.0117672485308,,1464.5356619310758,858.9650915885131,3290.2771509440367,1.116251925851556,classical,91,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,1,fixed_updates,100,3,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,91,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,1,fixed_updates,100,3,True,0,False
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,91,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,1,fixed_updates,100,3,True,0,False
Gossip,2893.540340502368,,2601.303372984343,1894.4280601232128,7144.860342591475,0.8990036657075645,generalized,91,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,1,fixed_updates,100,3,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,91,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,1,fixed_updates,100,3,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,91,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,1,fixed_updates,100,3,True,0,False
Gossip,1404.2573104612318,,1706.7680849566548,876.5124134574621,3307.284580365116,1.2154240339301223,classical,164,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,50,1,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,164,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,50,1,True,0,False
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,164,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,50,1,True,0,False
Gossip,3884.0343739964906,,3984.197925558849,2060.343368403017,10311.094031536622,1.0257885337557644,generalized,164,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,50,1,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,164,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,50,1,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,164,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,50,1,True,0,False
Gossip,1307.2450585494353,,1454.190779813481,872.1204989707694,3231.1329544445,1.1124087027929574,classical,82,10,5,0.0,1.0,0.5,models/,9,1,simple_avg,64,1,fixed_updates,100,1,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,82,10,5,0.0,1.0,0.5,models/,9,1,simple_avg,64,1,fixed_updates,100,1,True,0,False
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,82,10,5,0.0,1.0,0.5,models/,9,1,simple_avg,64,1,fixed_updates,100,1,True,0,False
Gossip,3355.3047288025427,,3469.10627814468,1925.1431283531324,7877.425124258853,1.0339169042874836,generalized,82,10,5,0.0,1.0,0.5,models/,9,1,simple_avg,64,1,fixed_updates,100,1,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,82,10,5,0.0,1.0,0.5,models/,9,1,simple_avg,64,1,fixed_updates,100,1,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,82,10,5,0.0,1.0,0.5,models/,9,1,simple_avg,64,1,fixed_updates,100,1,True,0,False
Gossip,1286.9656767149925,,1414.2568503856476,855.2559130558636,3198.804594247839,1.098907978645995,classical,118,10,5,0.0,0.4,0.5,models/,9,1,simple_avg,64,1,fixed_updates,100,1,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,118,10,5,0.0,0.4,0.5,models/,9,1,simple_avg,64,1,fixed_updates,100,1,True,0,False
